Namespace(askc_type='ASKCFuse', auto_aug=True, batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='aff_resnext50.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=5, mode='hybrid', model='resnext', momentum=0.9, no_wd=True, num_epochs=240, num_gpus=4, num_layer=50, num_workers=96, r=16, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='/xdisk/kobus/yimian/aff_resnext50_params', save_frequency=1, start_layer=3, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 994.600949 samples/sec	rmse=0.026428	lr=0.000300
Epoch[0] Batch [99]	Speed: 1344.595064 samples/sec	rmse=0.026151	lr=0.000600
Epoch[0] Batch [149]	Speed: 1327.861079 samples/sec	rmse=0.026051	lr=0.000899
Epoch[0] Batch [199]	Speed: 1324.262867 samples/sec	rmse=0.026313	lr=0.001199
Epoch[0] Batch [249]	Speed: 1324.252153 samples/sec	rmse=0.026307	lr=0.001499
Epoch[0] Batch [299]	Speed: 1318.262013 samples/sec	rmse=0.026120	lr=0.001799
Epoch[0] Batch [349]	Speed: 1312.236745 samples/sec	rmse=0.026133	lr=0.002098
Epoch[0] Batch [399]	Speed: 1314.653562 samples/sec	rmse=0.026167	lr=0.002398
Epoch[0] Batch [449]	Speed: 1323.181716 samples/sec	rmse=0.026254	lr=0.002698
Epoch[0] Batch [499]	Speed: 1322.574608 samples/sec	rmse=0.026333	lr=0.002998
Epoch[0] Batch [549]	Speed: 1329.257956 samples/sec	rmse=0.026314	lr=0.003298
Epoch[0] Batch [599]	Speed: 1328.661126 samples/sec	rmse=0.026350	lr=0.003597
Epoch[0] Batch [649]	Speed: 1330.375107 samples/sec	rmse=0.026354	lr=0.003897
Epoch[0] Batch [699]	Speed: 1326.269342 samples/sec	rmse=0.026305	lr=0.004197
Epoch[0] Batch [749]	Speed: 1328.128618 samples/sec	rmse=0.026252	lr=0.004497
Epoch[0] Batch [799]	Speed: 1326.082468 samples/sec	rmse=0.026223	lr=0.004797
Epoch[0] Batch [849]	Speed: 1324.316194 samples/sec	rmse=0.026233	lr=0.005096
Epoch[0] Batch [899]	Speed: 1324.680388 samples/sec	rmse=0.026211	lr=0.005396
Epoch[0] Batch [949]	Speed: 1327.293131 samples/sec	rmse=0.026206	lr=0.005696
Epoch[0] Batch [999]	Speed: 1322.467913 samples/sec	rmse=0.026195	lr=0.005996
Epoch[0] Batch [1049]	Speed: 1324.696666 samples/sec	rmse=0.026214	lr=0.006295
Epoch[0] Batch [1099]	Speed: 1323.875545 samples/sec	rmse=0.026188	lr=0.006595
Epoch[0] Batch [1149]	Speed: 1324.697515 samples/sec	rmse=0.026199	lr=0.006895
Epoch[0] Batch [1199]	Speed: 1323.952789 samples/sec	rmse=0.026222	lr=0.007195
Epoch[0] Batch [1249]	Speed: 1328.775911 samples/sec	rmse=0.026232	lr=0.007495
Epoch[0] Batch [1299]	Speed: 1328.631549 samples/sec	rmse=0.026218	lr=0.007794
Epoch[0] Batch [1349]	Speed: 1328.240681 samples/sec	rmse=0.026221	lr=0.008094
Epoch[0] Batch [1399]	Speed: 1327.927998 samples/sec	rmse=0.026198	lr=0.008394
Epoch[0] Batch [1449]	Speed: 1327.444127 samples/sec	rmse=0.026211	lr=0.008694
Epoch[0] Batch [1499]	Speed: 1323.232527 samples/sec	rmse=0.026205	lr=0.008994
Epoch[0] Batch [1549]	Speed: 1327.694260 samples/sec	rmse=0.026172	lr=0.009293
Epoch[0] Batch [1599]	Speed: 1327.958546 samples/sec	rmse=0.026189	lr=0.009593
Epoch[0] Batch [1649]	Speed: 1329.017317 samples/sec	rmse=0.026185	lr=0.009893
Epoch[0] Batch [1699]	Speed: 1323.990369 samples/sec	rmse=0.026188	lr=0.010193
Epoch[0] Batch [1749]	Speed: 1322.614440 samples/sec	rmse=0.026186	lr=0.010492
Epoch[0] Batch [1799]	Speed: 1318.792242 samples/sec	rmse=0.026207	lr=0.010792
Epoch[0] Batch [1849]	Speed: 1323.843618 samples/sec	rmse=0.026198	lr=0.011092
Epoch[0] Batch [1899]	Speed: 1321.203391 samples/sec	rmse=0.026182	lr=0.011392
Epoch[0] Batch [1949]	Speed: 1317.568412 samples/sec	rmse=0.026185	lr=0.011692
Epoch[0] Batch [1999]	Speed: 1318.006005 samples/sec	rmse=0.026186	lr=0.011991
Epoch[0] Batch [2049]	Speed: 1317.415484 samples/sec	rmse=0.026171	lr=0.012291
Epoch[0] Batch [2099]	Speed: 1320.329929 samples/sec	rmse=0.026159	lr=0.012591
Epoch[0] Batch [2149]	Speed: 1317.951179 samples/sec	rmse=0.026155	lr=0.012891
Epoch[0] Batch [2199]	Speed: 1315.080974 samples/sec	rmse=0.026157	lr=0.013191
Epoch[0] Batch [2249]	Speed: 1318.749449 samples/sec	rmse=0.026165	lr=0.013490
Epoch[0] Batch [2299]	Speed: 1317.382576 samples/sec	rmse=0.026164	lr=0.013790
Epoch[0] Batch [2349]	Speed: 1314.682745 samples/sec	rmse=0.026161	lr=0.014090
Epoch[0] Batch [2399]	Speed: 1310.267053 samples/sec	rmse=0.026163	lr=0.014390
Epoch[0] Batch [2449]	Speed: 1308.025869 samples/sec	rmse=0.026157	lr=0.014689
Epoch[0] Batch [2499]	Speed: 1310.061115 samples/sec	rmse=0.026151	lr=0.014989
[Epoch 0] training: rmse=0.026150
[Epoch 0] speed: 1313 samples/sec	time cost: 993.188696
[Epoch 0] validation: err-top1=0.960360 err-top5=0.878587
Epoch[1] Batch [49]	Speed: 1321.009620 samples/sec	rmse=0.025677	lr=0.015307
Epoch[1] Batch [99]	Speed: 1312.099402 samples/sec	rmse=0.025853	lr=0.015607
Epoch[1] Batch [149]	Speed: 1308.997020 samples/sec	rmse=0.026056	lr=0.015907
Epoch[1] Batch [199]	Speed: 1305.271860 samples/sec	rmse=0.026055	lr=0.016206
Epoch[1] Batch [249]	Speed: 1307.384764 samples/sec	rmse=0.025999	lr=0.016506
Epoch[1] Batch [299]	Speed: 1303.883857 samples/sec	rmse=0.025975	lr=0.016806
Epoch[1] Batch [349]	Speed: 1305.161481 samples/sec	rmse=0.026047	lr=0.017106
Epoch[1] Batch [399]	Speed: 1307.049237 samples/sec	rmse=0.026069	lr=0.017405
Epoch[1] Batch [449]	Speed: 1312.027303 samples/sec	rmse=0.026094	lr=0.017705
Epoch[1] Batch [499]	Speed: 1311.247076 samples/sec	rmse=0.026194	lr=0.018005
Epoch[1] Batch [549]	Speed: 1312.470655 samples/sec	rmse=0.026138	lr=0.018305
Epoch[1] Batch [599]	Speed: 1307.247098 samples/sec	rmse=0.026147	lr=0.018605
Epoch[1] Batch [649]	Speed: 1310.715488 samples/sec	rmse=0.026131	lr=0.018904
Epoch[1] Batch [699]	Speed: 1310.452455 samples/sec	rmse=0.026098	lr=0.019204
Epoch[1] Batch [749]	Speed: 1311.346523 samples/sec	rmse=0.026058	lr=0.019504
Epoch[1] Batch [799]	Speed: 1307.908555 samples/sec	rmse=0.026052	lr=0.019804
Epoch[1] Batch [849]	Speed: 1304.567068 samples/sec	rmse=0.026080	lr=0.020104
Epoch[1] Batch [899]	Speed: 1305.099152 samples/sec	rmse=0.026049	lr=0.020403
Epoch[1] Batch [949]	Speed: 1305.662344 samples/sec	rmse=0.026044	lr=0.020703
Epoch[1] Batch [999]	Speed: 1312.056690 samples/sec	rmse=0.026019	lr=0.021003
Epoch[1] Batch [1049]	Speed: 1308.738281 samples/sec	rmse=0.026015	lr=0.021303
Epoch[1] Batch [1099]	Speed: 1309.174784 samples/sec	rmse=0.025979	lr=0.021602
Epoch[1] Batch [1149]	Speed: 1309.850146 samples/sec	rmse=0.025951	lr=0.021902
Epoch[1] Batch [1199]	Speed: 1307.301388 samples/sec	rmse=0.025937	lr=0.022202
Epoch[1] Batch [1249]	Speed: 1308.698530 samples/sec	rmse=0.025915	lr=0.022502
Epoch[1] Batch [1299]	Speed: 1311.552144 samples/sec	rmse=0.025917	lr=0.022802
Epoch[1] Batch [1349]	Speed: 1308.543572 samples/sec	rmse=0.025919	lr=0.023101
Epoch[1] Batch [1399]	Speed: 1309.583115 samples/sec	rmse=0.025919	lr=0.023401
Epoch[1] Batch [1449]	Speed: 1311.454395 samples/sec	rmse=0.025918	lr=0.023701
Epoch[1] Batch [1499]	Speed: 1308.292616 samples/sec	rmse=0.025909	lr=0.024001
Epoch[1] Batch [1549]	Speed: 1306.210624 samples/sec	rmse=0.025890	lr=0.024301
Epoch[1] Batch [1599]	Speed: 1307.687703 samples/sec	rmse=0.025875	lr=0.024600
Epoch[1] Batch [1649]	Speed: 1303.037756 samples/sec	rmse=0.025864	lr=0.024900
Epoch[1] Batch [1699]	Speed: 1306.091300 samples/sec	rmse=0.025867	lr=0.025200
Epoch[1] Batch [1749]	Speed: 1303.030624 samples/sec	rmse=0.025863	lr=0.025500
Epoch[1] Batch [1799]	Speed: 1303.856608 samples/sec	rmse=0.025867	lr=0.025799
Epoch[1] Batch [1849]	Speed: 1304.863358 samples/sec	rmse=0.025871	lr=0.026099
Epoch[1] Batch [1899]	Speed: 1310.243581 samples/sec	rmse=0.025859	lr=0.026399
Epoch[1] Batch [1949]	Speed: 1309.027883 samples/sec	rmse=0.025837	lr=0.026699
Epoch[1] Batch [1999]	Speed: 1313.181976 samples/sec	rmse=0.025827	lr=0.026999
Epoch[1] Batch [2049]	Speed: 1310.100757 samples/sec	rmse=0.025836	lr=0.027298
Epoch[1] Batch [2099]	Speed: 1311.179649 samples/sec	rmse=0.025834	lr=0.027598
Epoch[1] Batch [2149]	Speed: 1312.703284 samples/sec	rmse=0.025811	lr=0.027898
Epoch[1] Batch [2199]	Speed: 1313.404607 samples/sec	rmse=0.025810	lr=0.028198
Epoch[1] Batch [2249]	Speed: 1314.013390 samples/sec	rmse=0.025801	lr=0.028497
Epoch[1] Batch [2299]	Speed: 1309.311467 samples/sec	rmse=0.025799	lr=0.028797
Epoch[1] Batch [2349]	Speed: 1311.015987 samples/sec	rmse=0.025781	lr=0.029097
Epoch[1] Batch [2399]	Speed: 1311.646014 samples/sec	rmse=0.025767	lr=0.029397
Epoch[1] Batch [2449]	Speed: 1312.089093 samples/sec	rmse=0.025749	lr=0.029697
Epoch[1] Batch [2499]	Speed: 1313.146998 samples/sec	rmse=0.025736	lr=0.029996
[Epoch 1] training: rmse=0.025734
[Epoch 1] speed: 1308 samples/sec	time cost: 996.252830
[Epoch 1] validation: err-top1=0.835898 err-top5=0.640167
Epoch[2] Batch [49]	Speed: 1325.085777 samples/sec	rmse=0.025973	lr=0.030308
Epoch[2] Batch [99]	Speed: 1312.206612 samples/sec	rmse=0.025634	lr=0.030608
Epoch[2] Batch [149]	Speed: 1310.652260 samples/sec	rmse=0.025511	lr=0.030908
Epoch[2] Batch [199]	Speed: 1308.510898 samples/sec	rmse=0.025461	lr=0.031208
Epoch[2] Batch [249]	Speed: 1311.277277 samples/sec	rmse=0.025324	lr=0.031507
Epoch[2] Batch [299]	Speed: 1309.849906 samples/sec	rmse=0.025281	lr=0.031807
Epoch[2] Batch [349]	Speed: 1318.642106 samples/sec	rmse=0.025261	lr=0.032107
Epoch[2] Batch [399]	Speed: 1320.427755 samples/sec	rmse=0.025327	lr=0.032407
Epoch[2] Batch [449]	Speed: 1319.659923 samples/sec	rmse=0.025287	lr=0.032706
Epoch[2] Batch [499]	Speed: 1319.346614 samples/sec	rmse=0.025258	lr=0.033006
Epoch[2] Batch [549]	Speed: 1318.090705 samples/sec	rmse=0.025261	lr=0.033306
Epoch[2] Batch [599]	Speed: 1316.863929 samples/sec	rmse=0.025291	lr=0.033606
Epoch[2] Batch [649]	Speed: 1318.881222 samples/sec	rmse=0.025292	lr=0.033906
Epoch[2] Batch [699]	Speed: 1316.753777 samples/sec	rmse=0.025334	lr=0.034205
