Namespace(askc_type='ASKCFuse', auto_aug=True, batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='aff_resnet50.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=5, mode='hybrid', model='resnet', momentum=0.9, no_wd=True, num_epochs=240, num_gpus=4, num_layer=50, num_workers=96, r=16, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='/xdisk/kobus/yimian/aff_resnet50_params', save_frequency=1, start_layer=3, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 1391.035831 samples/sec	rmse=0.026319	lr=0.000300
Epoch[0] Batch [99]	Speed: 2142.972733 samples/sec	rmse=0.026268	lr=0.000600
Epoch[0] Batch [149]	Speed: 2131.089729 samples/sec	rmse=0.026209	lr=0.000899
Epoch[0] Batch [199]	Speed: 2139.240853 samples/sec	rmse=0.026224	lr=0.001199
Epoch[0] Batch [249]	Speed: 2130.915313 samples/sec	rmse=0.026235	lr=0.001499
Epoch[0] Batch [299]	Speed: 2125.557712 samples/sec	rmse=0.026122	lr=0.001799
Epoch[0] Batch [349]	Speed: 2117.656290 samples/sec	rmse=0.026121	lr=0.002098
Epoch[0] Batch [399]	Speed: 2121.934454 samples/sec	rmse=0.026048	lr=0.002398
Epoch[0] Batch [449]	Speed: 2122.944616 samples/sec	rmse=0.026053	lr=0.002698
Epoch[0] Batch [499]	Speed: 2119.383672 samples/sec	rmse=0.026087	lr=0.002998
Epoch[0] Batch [549]	Speed: 2119.558842 samples/sec	rmse=0.026087	lr=0.003298
Epoch[0] Batch [599]	Speed: 2113.676200 samples/sec	rmse=0.026074	lr=0.003597
Epoch[0] Batch [649]	Speed: 2116.580389 samples/sec	rmse=0.026034	lr=0.003897
Epoch[0] Batch [699]	Speed: 2115.399594 samples/sec	rmse=0.026057	lr=0.004197
Epoch[0] Batch [749]	Speed: 2124.520429 samples/sec	rmse=0.026051	lr=0.004497
Epoch[0] Batch [799]	Speed: 2116.879414 samples/sec	rmse=0.026077	lr=0.004797
Epoch[0] Batch [849]	Speed: 2120.685562 samples/sec	rmse=0.026100	lr=0.005096
Epoch[0] Batch [899]	Speed: 2118.429222 samples/sec	rmse=0.026121	lr=0.005396
Epoch[0] Batch [949]	Speed: 2117.306275 samples/sec	rmse=0.026162	lr=0.005696
