Namespace(askc_type='ResLocaLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_LocaLoca_div16.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet50_v1b', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=2, num_workers=48, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_LocaLoca_div16', save_frequency=10, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ResLocaLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_LocaLoca_div16.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet50_v1b', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=2, num_workers=48, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_LocaLoca_div16', save_frequency=10, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ResLocaLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_LocaLoca_div16.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet50_v1b', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=2, num_workers=48, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_LocaLoca_div16', save_frequency=10, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ResLocaLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_LocaLoca_div16.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet50_v1b', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=2, num_workers=48, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_LocaLoca_div16', save_frequency=10, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 778.170786 samples/sec	accuracy=0.000859	lr=0.000150
Epoch[0] Batch [99]	Speed: 1170.249465 samples/sec	accuracy=0.000977	lr=0.000300
Epoch[0] Batch [149]	Speed: 1169.677357 samples/sec	accuracy=0.001146	lr=0.000450
Epoch[0] Batch [199]	Speed: 1168.776235 samples/sec	accuracy=0.001016	lr=0.000600
Epoch[0] Batch [249]	Speed: 1167.845863 samples/sec	accuracy=0.000969	lr=0.000749
Epoch[0] Batch [299]	Speed: 1168.863974 samples/sec	accuracy=0.001042	lr=0.000899
Epoch[0] Batch [349]	Speed: 1167.878152 samples/sec	accuracy=0.001038	lr=0.001049
Epoch[0] Batch [399]	Speed: 1167.185124 samples/sec	accuracy=0.001055	lr=0.001199
Epoch[0] Batch [449]	Speed: 1167.082034 samples/sec	accuracy=0.001076	lr=0.001349
Epoch[0] Batch [499]	Speed: 1166.547591 samples/sec	accuracy=0.001102	lr=0.001499
Epoch[0] Batch [549]	Speed: 1168.067630 samples/sec	accuracy=0.001129	lr=0.001649
Epoch[0] Batch [599]	Speed: 1167.308182 samples/sec	accuracy=0.001113	lr=0.001799
Epoch[0] Batch [649]	Speed: 1167.083506 samples/sec	accuracy=0.001148	lr=0.001949
Epoch[0] Batch [699]	Speed: 1167.393594 samples/sec	accuracy=0.001138	lr=0.002098
Epoch[0] Batch [749]	Speed: 1167.930972 samples/sec	accuracy=0.001125	lr=0.002248
Epoch[0] Batch [799]	Speed: 1168.885020 samples/sec	accuracy=0.001123	lr=0.002398
Epoch[0] Batch [849]	Speed: 1167.306786 samples/sec	accuracy=0.001131	lr=0.002548
Epoch[0] Batch [899]	Speed: 1168.353680 samples/sec	accuracy=0.001133	lr=0.002698
Epoch[0] Batch [949]	Speed: 1167.180328 samples/sec	accuracy=0.001139	lr=0.002848
Epoch[0] Batch [999]	Speed: 1167.342548 samples/sec	accuracy=0.001156	lr=0.002998
Epoch[0] Batch [1049]	Speed: 1168.111547 samples/sec	accuracy=0.001150	lr=0.003148
Epoch[0] Batch [1099]	Speed: 1167.101113 samples/sec	accuracy=0.001165	lr=0.003297
Epoch[0] Batch [1149]	Speed: 1166.616870 samples/sec	accuracy=0.001223	lr=0.003447
Epoch[0] Batch [1199]	Speed: 1167.682894 samples/sec	accuracy=0.001305	lr=0.003597
Epoch[0] Batch [1249]	Speed: 1168.011672 samples/sec	accuracy=0.001406	lr=0.003747
Epoch[0] Batch [1299]	Speed: 1168.223182 samples/sec	accuracy=0.001454	lr=0.003897
Epoch[0] Batch [1349]	Speed: 1167.599192 samples/sec	accuracy=0.001522	lr=0.004047
Epoch[0] Batch [1399]	Speed: 1167.724114 samples/sec	accuracy=0.001613	lr=0.004197
Epoch[0] Batch [1449]	Speed: 1167.203877 samples/sec	accuracy=0.001665	lr=0.004347
Epoch[0] Batch [1499]	Speed: 1167.054178 samples/sec	accuracy=0.001755	lr=0.004497
Epoch[0] Batch [1549]	Speed: 1166.575550 samples/sec	accuracy=0.001855	lr=0.004646
Epoch[0] Batch [1599]	Speed: 1168.373995 samples/sec	accuracy=0.001931	lr=0.004796
Epoch[0] Batch [1649]	Speed: 1166.016701 samples/sec	accuracy=0.001993	lr=0.004946
Epoch[0] Batch [1699]	Speed: 1163.704061 samples/sec	accuracy=0.002061	lr=0.005096
Epoch[0] Batch [1749]	Speed: 1164.159256 samples/sec	accuracy=0.002147	lr=0.005246
Epoch[0] Batch [1799]	Speed: 1163.702447 samples/sec	accuracy=0.002237	lr=0.005396
Epoch[0] Batch [1849]	Speed: 1164.437888 samples/sec	accuracy=0.002325	lr=0.005546
Epoch[0] Batch [1899]	Speed: 1161.877406 samples/sec	accuracy=0.002405	lr=0.005696
Epoch[0] Batch [1949]	Speed: 1161.883968 samples/sec	accuracy=0.002454	lr=0.005846
Epoch[0] Batch [1999]	Speed: 1163.860850 samples/sec	accuracy=0.002555	lr=0.005995
Epoch[0] Batch [2049]	Speed: 1162.890171 samples/sec	accuracy=0.002651	lr=0.006145
Epoch[0] Batch [2099]	Speed: 1163.572432 samples/sec	accuracy=0.002734	lr=0.006295
Epoch[0] Batch [2149]	Speed: 1164.821096 samples/sec	accuracy=0.002811	lr=0.006445
Epoch[0] Batch [2199]	Speed: 1164.550061 samples/sec	accuracy=0.002921	lr=0.006595
Epoch[0] Batch [2249]	Speed: 1164.021467 samples/sec	accuracy=0.003030	lr=0.006745
