Namespace(askc_type='ASKCFuse', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnext50_32x4d_aff_best.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=4, num_workers=96, r=4, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx\n\n', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnext50_32x4d_aff_best', save_frequency=10, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ASKCFuse', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnext50_32x4d_aff_best.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=4, num_workers=96, r=4, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnext50_32x4d_aff_best', save_frequency=10, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ASKCFuse', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnext50_32x4d_aff_best.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=4, num_workers=96, r=4, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='/xdisk/kobus/yimian/params', save_frequency=1, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ASKCFuse', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnext50_32x4d_aff_best.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=4, num_workers=96, r=4, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='/xdisk/kobus/yimian/params', save_frequency=1, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 952.901244 samples/sec	rmse=0.026318	lr=0.000300
Epoch[0] Batch [99]	Speed: 751.055731 samples/sec	rmse=0.026503	lr=0.000600
Epoch[0] Batch [149]	Speed: 974.392625 samples/sec	rmse=0.026635	lr=0.000899
Epoch[0] Batch [199]	Speed: 1140.852495 samples/sec	rmse=0.026515	lr=0.001199
Epoch[0] Batch [249]	Speed: 1106.890539 samples/sec	rmse=0.026356	lr=0.001499
Epoch[0] Batch [299]	Speed: 1149.610901 samples/sec	rmse=0.026293	lr=0.001799
Epoch[0] Batch [349]	Speed: 1193.688437 samples/sec	rmse=0.026297	lr=0.002098
Epoch[0] Batch [399]	Speed: 1132.772646 samples/sec	rmse=0.026260	lr=0.002398
Epoch[0] Batch [449]	Speed: 1151.294100 samples/sec	rmse=0.026203	lr=0.002698
Epoch[0] Batch [499]	Speed: 1156.210603 samples/sec	rmse=0.026186	lr=0.002998
Epoch[0] Batch [549]	Speed: 1146.190864 samples/sec	rmse=0.026225	lr=0.003298
Epoch[0] Batch [599]	Speed: 1137.984991 samples/sec	rmse=0.026186	lr=0.003597
Epoch[0] Batch [649]	Speed: 1179.773547 samples/sec	rmse=0.026184	lr=0.003897
Epoch[0] Batch [699]	Speed: 1143.436241 samples/sec	rmse=0.026175	lr=0.004197
Epoch[0] Batch [749]	Speed: 1131.451830 samples/sec	rmse=0.026196	lr=0.004497
Epoch[0] Batch [799]	Speed: 1114.887806 samples/sec	rmse=0.026165	lr=0.004797
Epoch[0] Batch [849]	Speed: 1134.753395 samples/sec	rmse=0.026129	lr=0.005096
Epoch[0] Batch [899]	Speed: 1139.489938 samples/sec	rmse=0.026120	lr=0.005396
Epoch[0] Batch [949]	Speed: 1142.001030 samples/sec	rmse=0.026135	lr=0.005696
Epoch[0] Batch [999]	Speed: 1136.906062 samples/sec	rmse=0.026143	lr=0.005996
Epoch[0] Batch [1049]	Speed: 1134.840946 samples/sec	rmse=0.026128	lr=0.006295
Epoch[0] Batch [1099]	Speed: 1162.321723 samples/sec	rmse=0.026132	lr=0.006595
Epoch[0] Batch [1149]	Speed: 1180.435654 samples/sec	rmse=0.026125	lr=0.006895
Epoch[0] Batch [1199]	Speed: 1117.742926 samples/sec	rmse=0.026165	lr=0.007195
Epoch[0] Batch [1249]	Speed: 1152.769759 samples/sec	rmse=0.026160	lr=0.007495
Epoch[0] Batch [1299]	Speed: 1137.151230 samples/sec	rmse=0.026134	lr=0.007794
Epoch[0] Batch [1349]	Speed: 1157.929930 samples/sec	rmse=0.026147	lr=0.008094
Epoch[0] Batch [1399]	Speed: 1149.490698 samples/sec	rmse=0.026130	lr=0.008394
Epoch[0] Batch [1449]	Speed: 1147.352753 samples/sec	rmse=0.026108	lr=0.008694
Epoch[0] Batch [1499]	Speed: 1171.236269 samples/sec	rmse=0.026105	lr=0.008994
Epoch[0] Batch [1549]	Speed: 1151.148861 samples/sec	rmse=0.026116	lr=0.009293
Epoch[0] Batch [1599]	Speed: 1118.273254 samples/sec	rmse=0.026113	lr=0.009593
Epoch[0] Batch [1649]	Speed: 1171.691061 samples/sec	rmse=0.026115	lr=0.009893
Epoch[0] Batch [1699]	Speed: 1133.770206 samples/sec	rmse=0.026116	lr=0.010193
Epoch[0] Batch [1749]	Speed: 1149.776079 samples/sec	rmse=0.026099	lr=0.010492
Epoch[0] Batch [1799]	Speed: 1149.632761 samples/sec	rmse=0.026080	lr=0.010792
Epoch[0] Batch [1849]	Speed: 1152.466796 samples/sec	rmse=0.026078	lr=0.011092
Epoch[0] Batch [1899]	Speed: 1135.372284 samples/sec	rmse=0.026084	lr=0.011392
Epoch[0] Batch [1949]	Speed: 1141.400860 samples/sec	rmse=0.026080	lr=0.011692
Epoch[0] Batch [1999]	Speed: 1168.026678 samples/sec	rmse=0.026092	lr=0.011991
Epoch[0] Batch [2049]	Speed: 1182.458749 samples/sec	rmse=0.026088	lr=0.012291
Epoch[0] Batch [2099]	Speed: 1154.867576 samples/sec	rmse=0.026093	lr=0.012591
Epoch[0] Batch [2149]	Speed: 1138.196057 samples/sec	rmse=0.026100	lr=0.012891
Epoch[0] Batch [2199]	Speed: 1150.710021 samples/sec	rmse=0.026080	lr=0.013191
Epoch[0] Batch [2249]	Speed: 1179.450435 samples/sec	rmse=0.026072	lr=0.013490
Epoch[0] Batch [2299]	Speed: 1159.375589 samples/sec	rmse=0.026080	lr=0.013790
Epoch[0] Batch [2349]	Speed: 1152.536466 samples/sec	rmse=0.026079	lr=0.014090
Epoch[0] Batch [2399]	Speed: 1176.431636 samples/sec	rmse=0.026081	lr=0.014390
Epoch[0] Batch [2449]	Speed: 1185.484202 samples/sec	rmse=0.026087	lr=0.014689
Epoch[0] Batch [2499]	Speed: 1202.363008 samples/sec	rmse=0.026096	lr=0.014989
[Epoch 0] training: rmse=0.026099
[Epoch 0] speed: 1129 samples/sec	time cost: 1147.507290
[Epoch 0] validation: err-top1=0.972377 err-top5=0.907924
Epoch[1] Batch [49]	Speed: 1142.794909 samples/sec	rmse=0.026140	lr=0.015307
Epoch[1] Batch [99]	Speed: 1147.493430 samples/sec	rmse=0.026151	lr=0.015607
Epoch[1] Batch [149]	Speed: 1146.109444 samples/sec	rmse=0.026197	lr=0.015907
Epoch[1] Batch [199]	Speed: 1158.593180 samples/sec	rmse=0.026141	lr=0.016206
Epoch[1] Batch [249]	Speed: 1153.486833 samples/sec	rmse=0.025999	lr=0.016506
Epoch[1] Batch [299]	Speed: 1154.133612 samples/sec	rmse=0.026057	lr=0.016806
Epoch[1] Batch [349]	Speed: 1124.175602 samples/sec	rmse=0.026116	lr=0.017106
Epoch[1] Batch [399]	Speed: 1142.948219 samples/sec	rmse=0.026065	lr=0.017405
Epoch[1] Batch [449]	Speed: 1140.614198 samples/sec	rmse=0.026038	lr=0.017705
Epoch[1] Batch [499]	Speed: 1137.073799 samples/sec	rmse=0.026014	lr=0.018005
Epoch[1] Batch [549]	Speed: 1166.183676 samples/sec	rmse=0.026030	lr=0.018305
Epoch[1] Batch [599]	Speed: 1159.205764 samples/sec	rmse=0.026028	lr=0.018605
Epoch[1] Batch [649]	Speed: 1107.110797 samples/sec	rmse=0.026030	lr=0.018904
Epoch[1] Batch [699]	Speed: 1130.007639 samples/sec	rmse=0.025972	lr=0.019204
Epoch[1] Batch [749]	Speed: 1158.849154 samples/sec	rmse=0.025981	lr=0.019504
Epoch[1] Batch [799]	Speed: 1136.694958 samples/sec	rmse=0.025985	lr=0.019804
Epoch[1] Batch [849]	Speed: 1150.083233 samples/sec	rmse=0.025999	lr=0.020104
Epoch[1] Batch [899]	Speed: 1195.357203 samples/sec	rmse=0.026015	lr=0.020403
Epoch[1] Batch [949]	Speed: 1168.917431 samples/sec	rmse=0.025997	lr=0.020703
Epoch[1] Batch [999]	Speed: 1171.926020 samples/sec	rmse=0.025996	lr=0.021003
Epoch[1] Batch [1049]	Speed: 1148.693378 samples/sec	rmse=0.026002	lr=0.021303
Epoch[1] Batch [1099]	Speed: 1163.566644 samples/sec	rmse=0.026001	lr=0.021602
Epoch[1] Batch [1149]	Speed: 1186.184172 samples/sec	rmse=0.025981	lr=0.021902
Epoch[1] Batch [1199]	Speed: 1109.501501 samples/sec	rmse=0.025986	lr=0.022202
Epoch[1] Batch [1249]	Speed: 1108.926418 samples/sec	rmse=0.026005	lr=0.022502
Epoch[1] Batch [1299]	Speed: 1142.806951 samples/sec	rmse=0.026011	lr=0.022802
Epoch[1] Batch [1349]	Speed: 1133.896795 samples/sec	rmse=0.026012	lr=0.023101
Epoch[1] Batch [1399]	Speed: 1149.169076 samples/sec	rmse=0.026012	lr=0.023401
Epoch[1] Batch [1449]	Speed: 1159.939027 samples/sec	rmse=0.026000	lr=0.023701
Epoch[1] Batch [1499]	Speed: 1160.576431 samples/sec	rmse=0.025978	lr=0.024001
Epoch[1] Batch [1549]	Speed: 1142.417741 samples/sec	rmse=0.025982	lr=0.024301
Epoch[1] Batch [1599]	Speed: 1154.170247 samples/sec	rmse=0.025981	lr=0.024600
Epoch[1] Batch [1649]	Speed: 1165.335644 samples/sec	rmse=0.025963	lr=0.024900
Epoch[1] Batch [1699]	Speed: 1141.388714 samples/sec	rmse=0.025964	lr=0.025200
Epoch[1] Batch [1749]	Speed: 1143.565851 samples/sec	rmse=0.025957	lr=0.025500
Epoch[1] Batch [1799]	Speed: 1154.779727 samples/sec	rmse=0.025954	lr=0.025799
Epoch[1] Batch [1849]	Speed: 1161.272821 samples/sec	rmse=0.025955	lr=0.026099
Epoch[1] Batch [1899]	Speed: 1161.527694 samples/sec	rmse=0.025961	lr=0.026399
Epoch[1] Batch [1949]	Speed: 1150.833625 samples/sec	rmse=0.025964	lr=0.026699
Epoch[1] Batch [1999]	Speed: 1116.163771 samples/sec	rmse=0.025975	lr=0.026999
Epoch[1] Batch [2049]	Speed: 1130.572480 samples/sec	rmse=0.025979	lr=0.027298
Epoch[1] Batch [2099]	Speed: 1151.904561 samples/sec	rmse=0.025988	lr=0.027598
Epoch[1] Batch [2149]	Speed: 1128.179971 samples/sec	rmse=0.025986	lr=0.027898
Epoch[1] Batch [2199]	Speed: 1130.909038 samples/sec	rmse=0.025998	lr=0.028198
Epoch[1] Batch [2249]	Speed: 1163.204738 samples/sec	rmse=0.026007	lr=0.028497
Epoch[1] Batch [2299]	Speed: 1177.522821 samples/sec	rmse=0.026007	lr=0.028797
Epoch[1] Batch [2349]	Speed: 1138.543399 samples/sec	rmse=0.026012	lr=0.029097
Epoch[1] Batch [2399]	Speed: 1162.709582 samples/sec	rmse=0.026012	lr=0.029397
Epoch[1] Batch [2449]	Speed: 1176.426454 samples/sec	rmse=0.026021	lr=0.029697
Epoch[1] Batch [2499]	Speed: 1199.512162 samples/sec	rmse=0.026023	lr=0.029996
[Epoch 1] training: rmse=0.026023
[Epoch 1] speed: 1149 samples/sec	time cost: 1126.822701
[Epoch 1] validation: err-top1=0.898936 err-top5=0.747529
Epoch[2] Batch [49]	Speed: 1158.047247 samples/sec	rmse=0.026420	lr=0.030308
Epoch[2] Batch [99]	Speed: 1129.307811 samples/sec	rmse=0.026434	lr=0.030608
Epoch[2] Batch [149]	Speed: 1132.750848 samples/sec	rmse=0.026266	lr=0.030908
Epoch[2] Batch [199]	Speed: 1149.554568 samples/sec	rmse=0.026174	lr=0.031208
Epoch[2] Batch [249]	Speed: 1148.196905 samples/sec	rmse=0.026170	lr=0.031507
Epoch[2] Batch [299]	Speed: 1182.190599 samples/sec	rmse=0.026111	lr=0.031807
Epoch[2] Batch [349]	Speed: 1186.102526 samples/sec	rmse=0.026060	lr=0.032107
Epoch[2] Batch [399]	Speed: 1160.262506 samples/sec	rmse=0.025954	lr=0.032407
Epoch[2] Batch [449]	Speed: 1197.059440 samples/sec	rmse=0.025965	lr=0.032706
Epoch[2] Batch [499]	Speed: 1181.064311 samples/sec	rmse=0.025962	lr=0.033006
Epoch[2] Batch [549]	Speed: 1175.411614 samples/sec	rmse=0.025897	lr=0.033306
Epoch[2] Batch [599]	Speed: 1140.498630 samples/sec	rmse=0.025911	lr=0.033606
Epoch[2] Batch [649]	Speed: 1154.729505 samples/sec	rmse=0.025874	lr=0.033906
Epoch[2] Batch [699]	Speed: 1136.132783 samples/sec	rmse=0.025891	lr=0.034205
Epoch[2] Batch [749]	Speed: 1154.529035 samples/sec	rmse=0.025905	lr=0.034505
Epoch[2] Batch [799]	Speed: 1160.041148 samples/sec	rmse=0.025860	lr=0.034805
Epoch[2] Batch [849]	Speed: 1147.506613 samples/sec	rmse=0.025858	lr=0.035105
Epoch[2] Batch [899]	Speed: 1161.146550 samples/sec	rmse=0.025864	lr=0.035405
Epoch[2] Batch [949]	Speed: 1189.631159 samples/sec	rmse=0.025842	lr=0.035704
Epoch[2] Batch [999]	Speed: 1151.884345 samples/sec	rmse=0.025816	lr=0.036004
Epoch[2] Batch [1049]	Speed: 1188.429975 samples/sec	rmse=0.025826	lr=0.036304
Epoch[2] Batch [1099]	Speed: 1169.471651 samples/sec	rmse=0.025815	lr=0.036604
Epoch[2] Batch [1149]	Speed: 1126.231333 samples/sec	rmse=0.025821	lr=0.036903
Epoch[2] Batch [1199]	Speed: 1155.145580 samples/sec	rmse=0.025813	lr=0.037203
Epoch[2] Batch [1249]	Speed: 1117.157793 samples/sec	rmse=0.025808	lr=0.037503
Epoch[2] Batch [1299]	Speed: 1155.728884 samples/sec	rmse=0.025788	lr=0.037803
Epoch[2] Batch [1349]	Speed: 1152.225218 samples/sec	rmse=0.025779	lr=0.038103
Epoch[2] Batch [1399]	Speed: 1131.391374 samples/sec	rmse=0.025778	lr=0.038402
Epoch[2] Batch [1449]	Speed: 1162.021177 samples/sec	rmse=0.025790	lr=0.038702
Epoch[2] Batch [1499]	Speed: 1177.899185 samples/sec	rmse=0.025797	lr=0.039002
Epoch[2] Batch [1549]	Speed: 1121.700604 samples/sec	rmse=0.025801	lr=0.039302
Epoch[2] Batch [1599]	Speed: 1145.256740 samples/sec	rmse=0.025797	lr=0.039601
Epoch[2] Batch [1649]	Speed: 1184.005941 samples/sec	rmse=0.025811	lr=0.039901
Epoch[2] Batch [1699]	Speed: 1135.001846 samples/sec	rmse=0.025769	lr=0.040201
Epoch[2] Batch [1749]	Speed: 1125.141588 samples/sec	rmse=0.025753	lr=0.040501
Epoch[2] Batch [1799]	Speed: 1137.889165 samples/sec	rmse=0.025749	lr=0.040801
Epoch[2] Batch [1849]	Speed: 1141.668982 samples/sec	rmse=0.025738	lr=0.041100
Epoch[2] Batch [1899]	Speed: 1155.352928 samples/sec	rmse=0.025736	lr=0.041400
Epoch[2] Batch [1949]	Speed: 1162.720033 samples/sec	rmse=0.025726	lr=0.041700
Epoch[2] Batch [1999]	Speed: 1149.483831 samples/sec	rmse=0.025717	lr=0.042000
Epoch[2] Batch [2049]	Speed: 1147.286343 samples/sec	rmse=0.025714	lr=0.042300
Epoch[2] Batch [2099]	Speed: 1145.338955 samples/sec	rmse=0.025709	lr=0.042599
Epoch[2] Batch [2149]	Speed: 1161.620343 samples/sec	rmse=0.025679	lr=0.042899
Epoch[2] Batch [2199]	Speed: 1164.889917 samples/sec	rmse=0.025667	lr=0.043199
Epoch[2] Batch [2249]	Speed: 1176.512174 samples/sec	rmse=0.025664	lr=0.043499
Epoch[2] Batch [2299]	Speed: 1151.413668 samples/sec	rmse=0.025658	lr=0.043798
Epoch[2] Batch [2349]	Speed: 1161.678870 samples/sec	rmse=0.025655	lr=0.044098
Epoch[2] Batch [2399]	Speed: 1139.992681 samples/sec	rmse=0.025652	lr=0.044398
Epoch[2] Batch [2449]	Speed: 1141.553892 samples/sec	rmse=0.025656	lr=0.044698
