Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_best_div16_resume.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet50_v1b', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=2, num_workers=10, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=65, resume_params='/work/yimian/codes/MXIce2/params_resnet50_v1b_best_div16/imagenet-resnet50_v1b-69.params', resume_states='/work/yimian/codes/MXIce2/params_resnet50_v1b_best_div16/imagenet-resnet50_v1b-69.states', save_dir='params_resnet50_v1b_best_div16_resume', save_frequency=10, summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[65] Batch [49]	Speed: 101.008996 samples/sec	accuracy=0.658750	lr=0.046886
Epoch[65] Batch [99]	Speed: 130.386380 samples/sec	accuracy=0.656719	lr=0.046879
Epoch[65] Batch [149]	Speed: 152.682971 samples/sec	accuracy=0.658932	lr=0.046871
Epoch[65] Batch [199]	Speed: 172.782334 samples/sec	accuracy=0.656191	lr=0.046864
Epoch[65] Batch [249]	Speed: 221.412577 samples/sec	accuracy=0.657188	lr=0.046857
Epoch[65] Batch [299]	Speed: 232.366395 samples/sec	accuracy=0.658307	lr=0.046849
Epoch[65] Batch [349]	Speed: 255.648235 samples/sec	accuracy=0.658449	lr=0.046842
Epoch[65] Batch [399]	Speed: 260.265407 samples/sec	accuracy=0.658242	lr=0.046835
Epoch[65] Batch [449]	Speed: 252.278180 samples/sec	accuracy=0.657960	lr=0.046827
Epoch[65] Batch [499]	Speed: 272.469333 samples/sec	accuracy=0.657352	lr=0.046820
Epoch[65] Batch [549]	Speed: 269.761039 samples/sec	accuracy=0.657116	lr=0.046813
Epoch[65] Batch [599]	Speed: 264.257410 samples/sec	accuracy=0.656712	lr=0.046805
Epoch[65] Batch [649]	Speed: 232.553124 samples/sec	accuracy=0.657049	lr=0.046798
Epoch[65] Batch [699]	Speed: 247.316456 samples/sec	accuracy=0.657427	lr=0.046791
Epoch[65] Batch [749]	Speed: 238.978654 samples/sec	accuracy=0.657214	lr=0.046783
Epoch[65] Batch [799]	Speed: 232.741667 samples/sec	accuracy=0.656802	lr=0.046776
Epoch[65] Batch [849]	Speed: 240.608594 samples/sec	accuracy=0.656305	lr=0.046768
Epoch[65] Batch [899]	Speed: 212.850845 samples/sec	accuracy=0.655738	lr=0.046761
Epoch[65] Batch [949]	Speed: 230.473516 samples/sec	accuracy=0.655197	lr=0.046754
Epoch[65] Batch [999]	Speed: 206.014823 samples/sec	accuracy=0.655191	lr=0.046746
Epoch[65] Batch [1049]	Speed: 202.467360 samples/sec	accuracy=0.655100	lr=0.046739
Epoch[65] Batch [1099]	Speed: 213.595122 samples/sec	accuracy=0.655234	lr=0.046732
Epoch[65] Batch [1149]	Speed: 246.980770 samples/sec	accuracy=0.655044	lr=0.046724
Epoch[65] Batch [1199]	Speed: 238.465449 samples/sec	accuracy=0.654977	lr=0.046717
Epoch[65] Batch [1249]	Speed: 252.474672 samples/sec	accuracy=0.655012	lr=0.046710
Epoch[65] Batch [1299]	Speed: 239.819116 samples/sec	accuracy=0.654775	lr=0.046702
Epoch[65] Batch [1349]	Speed: 264.182429 samples/sec	accuracy=0.654673	lr=0.046695
Epoch[65] Batch [1399]	Speed: 254.868933 samples/sec	accuracy=0.654634	lr=0.046688
Epoch[65] Batch [1449]	Speed: 227.990083 samples/sec	accuracy=0.654415	lr=0.046680
Epoch[65] Batch [1499]	Speed: 240.785213 samples/sec	accuracy=0.654406	lr=0.046673
Epoch[65] Batch [1549]	Speed: 224.911763 samples/sec	accuracy=0.654302	lr=0.046665
Epoch[65] Batch [1599]	Speed: 211.167687 samples/sec	accuracy=0.654043	lr=0.046658
Epoch[65] Batch [1649]	Speed: 216.965663 samples/sec	accuracy=0.653696	lr=0.046651
Epoch[65] Batch [1699]	Speed: 205.162004 samples/sec	accuracy=0.653663	lr=0.046643
Epoch[65] Batch [1749]	Speed: 204.175262 samples/sec	accuracy=0.653616	lr=0.046636
Epoch[65] Batch [1799]	Speed: 188.428801 samples/sec	accuracy=0.653568	lr=0.046629
