Namespace(askc_type='ResGlobLocaforGlobLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnext50_32x4d_iaff_best.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=4, num_workers=96, r=4, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='/xdisk/kobus/yimian/resnext_50_32x4d_iaff_params', save_frequency=1, scenario='ResNeXt', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ResGlobLocaforGlobLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnext50_32x4d_iaff_best.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=160, num_gpus=4, num_workers=96, r=4, rec_train='/xdisk/kobus/yimian/imagenet/rec/train.rec', rec_train_idx='/xdisk/kobus/yimian/imagenet/rec/train.idx', rec_val='/xdisk/kobus/yimian/imagenet/rec/val.rec', rec_val_idx='/xdisk/kobus/yimian/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='/xdisk/kobus/yimian/resnext_50_32x4d_iaff_params', save_frequency=1, scenario='ResNeXt', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 424.410590 samples/sec	rmse=0.026645	lr=0.000300
Epoch[0] Batch [99]	Speed: 559.930697 samples/sec	rmse=0.026430	lr=0.000600
Epoch[0] Batch [149]	Speed: 900.824249 samples/sec	rmse=0.025992	lr=0.000899
Epoch[0] Batch [199]	Speed: 982.788143 samples/sec	rmse=0.025924	lr=0.001199
Epoch[0] Batch [249]	Speed: 981.585054 samples/sec	rmse=0.026003	lr=0.001499
Epoch[0] Batch [299]	Speed: 945.598021 samples/sec	rmse=0.026136	lr=0.001799
Epoch[0] Batch [349]	Speed: 972.748903 samples/sec	rmse=0.026102	lr=0.002098
Epoch[0] Batch [399]	Speed: 975.303425 samples/sec	rmse=0.026108	lr=0.002398
Epoch[0] Batch [449]	Speed: 966.183634 samples/sec	rmse=0.026130	lr=0.002698
Epoch[0] Batch [499]	Speed: 938.886627 samples/sec	rmse=0.026075	lr=0.002998
Epoch[0] Batch [549]	Speed: 959.345564 samples/sec	rmse=0.026073	lr=0.003298
Epoch[0] Batch [599]	Speed: 949.779988 samples/sec	rmse=0.026046	lr=0.003597
Epoch[0] Batch [649]	Speed: 959.494635 samples/sec	rmse=0.025987	lr=0.003897
Epoch[0] Batch [699]	Speed: 958.780906 samples/sec	rmse=0.026060	lr=0.004197
Epoch[0] Batch [749]	Speed: 968.841910 samples/sec	rmse=0.026079	lr=0.004497
Epoch[0] Batch [799]	Speed: 966.123423 samples/sec	rmse=0.026095	lr=0.004797
Epoch[0] Batch [849]	Speed: 962.912467 samples/sec	rmse=0.026146	lr=0.005096
Epoch[0] Batch [899]	Speed: 955.710276 samples/sec	rmse=0.026158	lr=0.005396
Epoch[0] Batch [949]	Speed: 956.765314 samples/sec	rmse=0.026133	lr=0.005696
Epoch[0] Batch [999]	Speed: 977.721880 samples/sec	rmse=0.026081	lr=0.005996
Epoch[0] Batch [1049]	Speed: 960.593213 samples/sec	rmse=0.026015	lr=0.006295
Epoch[0] Batch [1099]	Speed: 960.444634 samples/sec	rmse=0.026030	lr=0.006595
Epoch[0] Batch [1149]	Speed: 962.889291 samples/sec	rmse=0.026049	lr=0.006895
Epoch[0] Batch [1199]	Speed: 974.734016 samples/sec	rmse=0.026025	lr=0.007195
Epoch[0] Batch [1249]	Speed: 975.997340 samples/sec	rmse=0.026034	lr=0.007495
Epoch[0] Batch [1299]	Speed: 958.982096 samples/sec	rmse=0.026047	lr=0.007794
Epoch[0] Batch [1349]	Speed: 957.147384 samples/sec	rmse=0.026062	lr=0.008094
Epoch[0] Batch [1399]	Speed: 983.567401 samples/sec	rmse=0.026060	lr=0.008394
Epoch[0] Batch [1449]	Speed: 960.046769 samples/sec	rmse=0.026052	lr=0.008694
Epoch[0] Batch [1499]	Speed: 969.072252 samples/sec	rmse=0.026052	lr=0.008994
Epoch[0] Batch [1549]	Speed: 966.770966 samples/sec	rmse=0.026037	lr=0.009293
Epoch[0] Batch [1599]	Speed: 958.101417 samples/sec	rmse=0.026045	lr=0.009593
Epoch[0] Batch [1649]	Speed: 957.066549 samples/sec	rmse=0.026046	lr=0.009893
Epoch[0] Batch [1699]	Speed: 956.479264 samples/sec	rmse=0.026040	lr=0.010193
Epoch[0] Batch [1749]	Speed: 963.677153 samples/sec	rmse=0.026033	lr=0.010492
Epoch[0] Batch [1799]	Speed: 962.351849 samples/sec	rmse=0.026048	lr=0.010792
Epoch[0] Batch [1849]	Speed: 952.140411 samples/sec	rmse=0.026051	lr=0.011092
Epoch[0] Batch [1899]	Speed: 943.161948 samples/sec	rmse=0.026065	lr=0.011392
Epoch[0] Batch [1949]	Speed: 952.638367 samples/sec	rmse=0.026053	lr=0.011692
Epoch[0] Batch [1999]	Speed: 948.224796 samples/sec	rmse=0.026041	lr=0.011991
Epoch[0] Batch [2049]	Speed: 950.756759 samples/sec	rmse=0.026050	lr=0.012291
Epoch[0] Batch [2099]	Speed: 964.159409 samples/sec	rmse=0.026044	lr=0.012591
Epoch[0] Batch [2149]	Speed: 956.897381 samples/sec	rmse=0.026044	lr=0.012891
Epoch[0] Batch [2199]	Speed: 952.261509 samples/sec	rmse=0.026048	lr=0.013191
Epoch[0] Batch [2249]	Speed: 962.533625 samples/sec	rmse=0.026035	lr=0.013490
Epoch[0] Batch [2299]	Speed: 969.898147 samples/sec	rmse=0.026042	lr=0.013790
Epoch[0] Batch [2349]	Speed: 950.201180 samples/sec	rmse=0.026050	lr=0.014090
Epoch[0] Batch [2399]	Speed: 942.889488 samples/sec	rmse=0.026062	lr=0.014390
Epoch[0] Batch [2449]	Speed: 951.940157 samples/sec	rmse=0.026072	lr=0.014689
Epoch[0] Batch [2499]	Speed: 991.111628 samples/sec	rmse=0.026074	lr=0.014989
[Epoch 0] training: rmse=0.026072
[Epoch 0] speed: 921 samples/sec	time cost: 1404.547867
[Epoch 0] validation: err-top1=0.994081 err-top5=0.975965
Epoch[1] Batch [49]	Speed: 970.274147 samples/sec	rmse=0.026092	lr=0.015307
Epoch[1] Batch [99]	Speed: 961.894329 samples/sec	rmse=0.025949	lr=0.015607
Epoch[1] Batch [149]	Speed: 956.880394 samples/sec	rmse=0.026108	lr=0.015907
Epoch[1] Batch [199]	Speed: 948.632088 samples/sec	rmse=0.026057	lr=0.016206
Epoch[1] Batch [249]	Speed: 944.408673 samples/sec	rmse=0.026118	lr=0.016506
Epoch[1] Batch [299]	Speed: 950.291229 samples/sec	rmse=0.026115	lr=0.016806
Epoch[1] Batch [349]	Speed: 950.574027 samples/sec	rmse=0.026107	lr=0.017106
Epoch[1] Batch [399]	Speed: 961.173998 samples/sec	rmse=0.026082	lr=0.017405
Epoch[1] Batch [449]	Speed: 964.562884 samples/sec	rmse=0.026114	lr=0.017705
Epoch[1] Batch [499]	Speed: 946.462828 samples/sec	rmse=0.026069	lr=0.018005
Epoch[1] Batch [549]	Speed: 954.766372 samples/sec	rmse=0.026047	lr=0.018305
Epoch[1] Batch [599]	Speed: 956.203621 samples/sec	rmse=0.026008	lr=0.018605
Epoch[1] Batch [649]	Speed: 956.265701 samples/sec	rmse=0.026006	lr=0.018904
Epoch[1] Batch [699]	Speed: 941.968685 samples/sec	rmse=0.025976	lr=0.019204
Epoch[1] Batch [749]	Speed: 973.317865 samples/sec	rmse=0.025991	lr=0.019504
Epoch[1] Batch [799]	Speed: 965.791390 samples/sec	rmse=0.025971	lr=0.019804
Epoch[1] Batch [849]	Speed: 967.625334 samples/sec	rmse=0.025964	lr=0.020104
Epoch[1] Batch [899]	Speed: 950.058606 samples/sec	rmse=0.025980	lr=0.020403
Epoch[1] Batch [949]	Speed: 956.818498 samples/sec	rmse=0.025960	lr=0.020703
Epoch[1] Batch [999]	Speed: 945.005193 samples/sec	rmse=0.025990	lr=0.021003
Epoch[1] Batch [1049]	Speed: 941.749179 samples/sec	rmse=0.025993	lr=0.021303
Epoch[1] Batch [1099]	Speed: 952.446479 samples/sec	rmse=0.025976	lr=0.021602
Epoch[1] Batch [1149]	Speed: 956.422463 samples/sec	rmse=0.025988	lr=0.021902
Epoch[1] Batch [1199]	Speed: 949.493397 samples/sec	rmse=0.026017	lr=0.022202
Epoch[1] Batch [1249]	Speed: 952.608947 samples/sec	rmse=0.025980	lr=0.022502
Epoch[1] Batch [1299]	Speed: 973.318747 samples/sec	rmse=0.025969	lr=0.022802
Epoch[1] Batch [1349]	Speed: 974.784048 samples/sec	rmse=0.025998	lr=0.023101
Epoch[1] Batch [1399]	Speed: 944.897558 samples/sec	rmse=0.026002	lr=0.023401
Epoch[1] Batch [1449]	Speed: 959.720305 samples/sec	rmse=0.026012	lr=0.023701
Epoch[1] Batch [1499]	Speed: 970.401910 samples/sec	rmse=0.026022	lr=0.024001
Epoch[1] Batch [1549]	Speed: 974.144422 samples/sec	rmse=0.026015	lr=0.024301
Epoch[1] Batch [1599]	Speed: 963.920752 samples/sec	rmse=0.026006	lr=0.024600
Epoch[1] Batch [1649]	Speed: 936.420505 samples/sec	rmse=0.025995	lr=0.024900
Epoch[1] Batch [1699]	Speed: 959.520829 samples/sec	rmse=0.026001	lr=0.025200
Epoch[1] Batch [1749]	Speed: 968.088132 samples/sec	rmse=0.026010	lr=0.025500
Epoch[1] Batch [1799]	Speed: 936.779320 samples/sec	rmse=0.026028	lr=0.025799
Epoch[1] Batch [1849]	Speed: 948.465068 samples/sec	rmse=0.026036	lr=0.026099
Epoch[1] Batch [1899]	Speed: 966.100709 samples/sec	rmse=0.026035	lr=0.026399
Epoch[1] Batch [1949]	Speed: 953.182111 samples/sec	rmse=0.026025	lr=0.026699
Epoch[1] Batch [1999]	Speed: 951.989937 samples/sec	rmse=0.026019	lr=0.026999
Epoch[1] Batch [2049]	Speed: 959.951960 samples/sec	rmse=0.026037	lr=0.027298
Epoch[1] Batch [2099]	Speed: 968.403737 samples/sec	rmse=0.026036	lr=0.027598
Epoch[1] Batch [2149]	Speed: 966.032947 samples/sec	rmse=0.026034	lr=0.027898
Epoch[1] Batch [2199]	Speed: 965.893663 samples/sec	rmse=0.026033	lr=0.028198
Epoch[1] Batch [2249]	Speed: 949.665853 samples/sec	rmse=0.026030	lr=0.028497
Epoch[1] Batch [2299]	Speed: 941.648519 samples/sec	rmse=0.026035	lr=0.028797
Epoch[1] Batch [2349]	Speed: 958.434984 samples/sec	rmse=0.026034	lr=0.029097
Epoch[1] Batch [2399]	Speed: 959.549863 samples/sec	rmse=0.026042	lr=0.029397
Epoch[1] Batch [2449]	Speed: 962.583724 samples/sec	rmse=0.026056	lr=0.029697
Epoch[1] Batch [2499]	Speed: 995.580474 samples/sec	rmse=0.026042	lr=0.029996
[Epoch 1] training: rmse=0.026041
[Epoch 1] speed: 957 samples/sec	time cost: 1352.609041
[Epoch 1] validation: err-top1=0.957589 err-top5=0.870257
Epoch[2] Batch [49]	Speed: 954.051172 samples/sec	rmse=0.026456	lr=0.030308
Epoch[2] Batch [99]	Speed: 937.628801 samples/sec	rmse=0.026083	lr=0.030608
Epoch[2] Batch [149]	Speed: 962.381573 samples/sec	rmse=0.026363	lr=0.030908
Epoch[2] Batch [199]	Speed: 964.829844 samples/sec	rmse=0.026408	lr=0.031208
Epoch[2] Batch [249]	Speed: 959.063709 samples/sec	rmse=0.026270	lr=0.031507
Epoch[2] Batch [299]	Speed: 962.789060 samples/sec	rmse=0.026153	lr=0.031807
Epoch[2] Batch [349]	Speed: 948.067436 samples/sec	rmse=0.026206	lr=0.032107
Epoch[2] Batch [399]	Speed: 961.159079 samples/sec	rmse=0.026246	lr=0.032407
Epoch[2] Batch [449]	Speed: 956.237760 samples/sec	rmse=0.026161	lr=0.032706
Epoch[2] Batch [499]	Speed: 950.812485 samples/sec	rmse=0.026052	lr=0.033006
Epoch[2] Batch [549]	Speed: 962.625043 samples/sec	rmse=0.026018	lr=0.033306
Epoch[2] Batch [599]	Speed: 944.871350 samples/sec	rmse=0.025986	lr=0.033606
Epoch[2] Batch [649]	Speed: 964.251032 samples/sec	rmse=0.025977	lr=0.033906
Epoch[2] Batch [699]	Speed: 957.437659 samples/sec	rmse=0.025985	lr=0.034205
Epoch[2] Batch [749]	Speed: 989.585066 samples/sec	rmse=0.026002	lr=0.034505
Epoch[2] Batch [799]	Speed: 950.474307 samples/sec	rmse=0.025981	lr=0.034805
Epoch[2] Batch [849]	Speed: 936.041858 samples/sec	rmse=0.025993	lr=0.035105
Epoch[2] Batch [899]	Speed: 966.402163 samples/sec	rmse=0.025974	lr=0.035405
Epoch[2] Batch [949]	Speed: 956.863272 samples/sec	rmse=0.025935	lr=0.035704
Epoch[2] Batch [999]	Speed: 954.955297 samples/sec	rmse=0.025916	lr=0.036004
Epoch[2] Batch [1049]	Speed: 950.756961 samples/sec	rmse=0.025903	lr=0.036304
Epoch[2] Batch [1099]	Speed: 966.105290 samples/sec	rmse=0.025901	lr=0.036604
Epoch[2] Batch [1149]	Speed: 970.410759 samples/sec	rmse=0.025887	lr=0.036903
Epoch[2] Batch [1199]	Speed: 960.558573 samples/sec	rmse=0.025891	lr=0.037203
Epoch[2] Batch [1249]	Speed: 957.427132 samples/sec	rmse=0.025909	lr=0.037503
Epoch[2] Batch [1299]	Speed: 950.866550 samples/sec	rmse=0.025932	lr=0.037803
Epoch[2] Batch [1349]	Speed: 946.851082 samples/sec	rmse=0.025930	lr=0.038103
Epoch[2] Batch [1399]	Speed: 966.590127 samples/sec	rmse=0.025934	lr=0.038402
Epoch[2] Batch [1449]	Speed: 967.410330 samples/sec	rmse=0.025946	lr=0.038702
Epoch[2] Batch [1499]	Speed: 970.950165 samples/sec	rmse=0.025934	lr=0.039002
Epoch[2] Batch [1549]	Speed: 970.711083 samples/sec	rmse=0.025932	lr=0.039302
Epoch[2] Batch [1599]	Speed: 982.800161 samples/sec	rmse=0.025928	lr=0.039601
Epoch[2] Batch [1649]	Speed: 958.956701 samples/sec	rmse=0.025940	lr=0.039901
Epoch[2] Batch [1699]	Speed: 991.997784 samples/sec	rmse=0.025943	lr=0.040201
Epoch[2] Batch [1749]	Speed: 976.874748 samples/sec	rmse=0.025922	lr=0.040501
Epoch[2] Batch [1799]	Speed: 946.883696 samples/sec	rmse=0.025904	lr=0.040801
Epoch[2] Batch [1849]	Speed: 953.754806 samples/sec	rmse=0.025907	lr=0.041100
Epoch[2] Batch [1899]	Speed: 970.391842 samples/sec	rmse=0.025915	lr=0.041400
Epoch[2] Batch [1949]	Speed: 978.499898 samples/sec	rmse=0.025899	lr=0.041700
Epoch[2] Batch [1999]	Speed: 976.750162 samples/sec	rmse=0.025909	lr=0.042000
Epoch[2] Batch [2049]	Speed: 952.293011 samples/sec	rmse=0.025912	lr=0.042300
Epoch[2] Batch [2099]	Speed: 966.929241 samples/sec	rmse=0.025913	lr=0.042599
Epoch[2] Batch [2149]	Speed: 951.757130 samples/sec	rmse=0.025890	lr=0.042899
Epoch[2] Batch [2199]	Speed: 941.474108 samples/sec	rmse=0.025876	lr=0.043199
Epoch[2] Batch [2249]	Speed: 967.958638 samples/sec	rmse=0.025882	lr=0.043499
Epoch[2] Batch [2299]	Speed: 988.000139 samples/sec	rmse=0.025895	lr=0.043798
Epoch[2] Batch [2349]	Speed: 966.643696 samples/sec	rmse=0.025890	lr=0.044098
Epoch[2] Batch [2399]	Speed: 979.159153 samples/sec	rmse=0.025884	lr=0.044398
Epoch[2] Batch [2449]	Speed: 953.744936 samples/sec	rmse=0.025888	lr=0.044698
Epoch[2] Batch [2499]	Speed: 1004.415941 samples/sec	rmse=0.025883	lr=0.044998
[Epoch 2] training: rmse=0.025884
[Epoch 2] speed: 962 samples/sec	time cost: 1345.606288
[Epoch 2] validation: err-top1=0.861711 err-top5=0.680030
Epoch[3] Batch [49]	Speed: 976.279278 samples/sec	rmse=0.026114	lr=0.045309
Epoch[3] Batch [99]	Speed: 973.797359 samples/sec	rmse=0.025986	lr=0.045609
Epoch[3] Batch [149]	Speed: 939.331935 samples/sec	rmse=0.025794	lr=0.045909
Epoch[3] Batch [199]	Speed: 945.232694 samples/sec	rmse=0.025757	lr=0.046209
Epoch[3] Batch [249]	Speed: 952.845992 samples/sec	rmse=0.025748	lr=0.046509
Epoch[3] Batch [299]	Speed: 941.374778 samples/sec	rmse=0.025760	lr=0.046808
Epoch[3] Batch [349]	Speed: 958.545845 samples/sec	rmse=0.025630	lr=0.047108
Epoch[3] Batch [399]	Speed: 950.334343 samples/sec	rmse=0.025701	lr=0.047408
Epoch[3] Batch [449]	Speed: 952.668998 samples/sec	rmse=0.025687	lr=0.047708
Epoch[3] Batch [499]	Speed: 966.222671 samples/sec	rmse=0.025659	lr=0.048007
Epoch[3] Batch [549]	Speed: 970.922088 samples/sec	rmse=0.025614	lr=0.048307
Epoch[3] Batch [599]	Speed: 954.301089 samples/sec	rmse=0.025617	lr=0.048607
Epoch[3] Batch [649]	Speed: 966.344500 samples/sec	rmse=0.025636	lr=0.048907
Epoch[3] Batch [699]	Speed: 944.645128 samples/sec	rmse=0.025622	lr=0.049207
Epoch[3] Batch [749]	Speed: 948.510278 samples/sec	rmse=0.025629	lr=0.049506
Epoch[3] Batch [799]	Speed: 971.936386 samples/sec	rmse=0.025644	lr=0.049806
Epoch[3] Batch [849]	Speed: 944.472904 samples/sec	rmse=0.025659	lr=0.050106
Epoch[3] Batch [899]	Speed: 961.281148 samples/sec	rmse=0.025665	lr=0.050406
Epoch[3] Batch [949]	Speed: 994.990707 samples/sec	rmse=0.025647	lr=0.050705
Epoch[3] Batch [999]	Speed: 953.983437 samples/sec	rmse=0.025611	lr=0.051005
Epoch[3] Batch [1049]	Speed: 973.242947 samples/sec	rmse=0.025592	lr=0.051305
Epoch[3] Batch [1099]	Speed: 957.417793 samples/sec	rmse=0.025576	lr=0.051605
Epoch[3] Batch [1149]	Speed: 945.099219 samples/sec	rmse=0.025555	lr=0.051905
Epoch[3] Batch [1199]	Speed: 965.195712 samples/sec	rmse=0.025539	lr=0.052204
Epoch[3] Batch [1249]	Speed: 942.337232 samples/sec	rmse=0.025528	lr=0.052504
Epoch[3] Batch [1299]	Speed: 961.206824 samples/sec	rmse=0.025515	lr=0.052804
