Namespace(askc_type='xxx', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_best_iAFF.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=180, num_gpus=2, num_workers=48, r=4, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_best_iAFF', save_frequency=10, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='xxx', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_best_iAFF.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=180, num_gpus=2, num_workers=48, r=4, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_best_iAFF', save_frequency=10, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ResGlobLocaforGlobLocaCha', batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_best_iAFF.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=180, num_gpus=2, num_workers=48, r=4, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_best_iAFF', save_frequency=10, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Namespace(askc_type='ResGlobLocaforGlobLocaCha', batch_norm=False, batch_size=96, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet50_v1b_best_iAFF.log', lr=0.075, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', momentum=0.9, no_wd=True, num_epochs=180, num_gpus=2, num_workers=48, r=4, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet50_v1b_best_iAFF', save_frequency=10, scenario='xxx', summary=False, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 411.233186 samples/sec	rmse=0.025405	lr=0.000112
Epoch[0] Batch [99]	Speed: 519.284873 samples/sec	rmse=0.025934	lr=0.000225
Epoch[0] Batch [149]	Speed: 514.207511 samples/sec	rmse=0.025948	lr=0.000337
Epoch[0] Batch [199]	Speed: 513.302923 samples/sec	rmse=0.026103	lr=0.000450
Epoch[0] Batch [249]	Speed: 508.236129 samples/sec	rmse=0.026085	lr=0.000562
Epoch[0] Batch [299]	Speed: 512.659142 samples/sec	rmse=0.026153	lr=0.000674
Epoch[0] Batch [349]	Speed: 508.610820 samples/sec	rmse=0.026097	lr=0.000787
Epoch[0] Batch [399]	Speed: 507.484296 samples/sec	rmse=0.026123	lr=0.000899
Epoch[0] Batch [449]	Speed: 508.376048 samples/sec	rmse=0.026087	lr=0.001012
Epoch[0] Batch [499]	Speed: 508.427948 samples/sec	rmse=0.026093	lr=0.001124
Epoch[0] Batch [549]	Speed: 505.429060 samples/sec	rmse=0.026083	lr=0.001237
Epoch[0] Batch [599]	Speed: 504.145099 samples/sec	rmse=0.026127	lr=0.001349
Epoch[0] Batch [649]	Speed: 503.415175 samples/sec	rmse=0.026131	lr=0.001461
Epoch[0] Batch [699]	Speed: 503.277350 samples/sec	rmse=0.026138	lr=0.001574
Epoch[0] Batch [749]	Speed: 504.871206 samples/sec	rmse=0.026186	lr=0.001686
Epoch[0] Batch [799]	Speed: 505.073340 samples/sec	rmse=0.026152	lr=0.001799
Epoch[0] Batch [849]	Speed: 507.746409 samples/sec	rmse=0.026179	lr=0.001911
Epoch[0] Batch [899]	Speed: 501.858362 samples/sec	rmse=0.026197	lr=0.002023
Epoch[0] Batch [949]	Speed: 504.755158 samples/sec	rmse=0.026205	lr=0.002136
Epoch[0] Batch [999]	Speed: 507.300961 samples/sec	rmse=0.026217	lr=0.002248
Epoch[0] Batch [1049]	Speed: 504.349861 samples/sec	rmse=0.026192	lr=0.002361
Epoch[0] Batch [1099]	Speed: 501.761602 samples/sec	rmse=0.026162	lr=0.002473
Epoch[0] Batch [1149]	Speed: 503.329617 samples/sec	rmse=0.026162	lr=0.002586
Epoch[0] Batch [1199]	Speed: 503.272041 samples/sec	rmse=0.026141	lr=0.002698
Epoch[0] Batch [1249]	Speed: 501.418005 samples/sec	rmse=0.026152	lr=0.002810
Epoch[0] Batch [1299]	Speed: 505.321964 samples/sec	rmse=0.026167	lr=0.002923
Epoch[0] Batch [1349]	Speed: 505.310720 samples/sec	rmse=0.026184	lr=0.003035
Epoch[0] Batch [1399]	Speed: 502.011971 samples/sec	rmse=0.026201	lr=0.003148
Epoch[0] Batch [1449]	Speed: 502.657829 samples/sec	rmse=0.026175	lr=0.003260
Epoch[0] Batch [1499]	Speed: 504.451319 samples/sec	rmse=0.026149	lr=0.003372
Epoch[0] Batch [1549]	Speed: 503.125978 samples/sec	rmse=0.026155	lr=0.003485
Epoch[0] Batch [1599]	Speed: 503.678108 samples/sec	rmse=0.026135	lr=0.003597
Epoch[0] Batch [1649]	Speed: 507.686397 samples/sec	rmse=0.026122	lr=0.003710
Epoch[0] Batch [1699]	Speed: 503.648441 samples/sec	rmse=0.026103	lr=0.003822
Epoch[0] Batch [1749]	Speed: 505.001791 samples/sec	rmse=0.026104	lr=0.003934
Epoch[0] Batch [1799]	Speed: 504.712186 samples/sec	rmse=0.026111	lr=0.004047
Epoch[0] Batch [1849]	Speed: 502.040481 samples/sec	rmse=0.026097	lr=0.004159
Epoch[0] Batch [1899]	Speed: 501.496037 samples/sec	rmse=0.026084	lr=0.004272
Epoch[0] Batch [1949]	Speed: 504.132330 samples/sec	rmse=0.026092	lr=0.004384
Epoch[0] Batch [1999]	Speed: 502.011295 samples/sec	rmse=0.026093	lr=0.004497
Epoch[0] Batch [2049]	Speed: 501.655230 samples/sec	rmse=0.026093	lr=0.004609
Epoch[0] Batch [2099]	Speed: 503.991999 samples/sec	rmse=0.026091	lr=0.004721
Epoch[0] Batch [2149]	Speed: 503.073074 samples/sec	rmse=0.026090	lr=0.004834
Epoch[0] Batch [2199]	Speed: 502.495170 samples/sec	rmse=0.026092	lr=0.004946
Epoch[0] Batch [2249]	Speed: 499.077095 samples/sec	rmse=0.026093	lr=0.005059
Epoch[0] Batch [2299]	Speed: 502.798547 samples/sec	rmse=0.026095	lr=0.005171
